Pile;Face;Difficulté
dantesque;sublime et grandiose mais relativement terrifiant;2
débirentier;acheteur lors d’une vente en viager;2
déboire;échec, revers causant une amère déception (surtout pluriel);2
défalquer;retrancher, déduire quelque chose d’un total;2
délétère;qui corrompt l’esprit, nuisible, corrupteur, néfaste;2
déliquescence;décadence, décomposition résultant de la violation des règles morales, dégénérescence;2
démiurge;personne qui crée quelque chose d’important;2
dépravé;personne pervertie, détournée du bien, des disposition morales;2
déprédation;vol ou pillage, malversation dans une administration (surtout pluriel);2
derechef;une seconde fois, de nouveau;2
déréliction; sentiment d’abandon et de solitude morale;2
desiderata;ce que l’on souhaite voir se réaliser, souhaits et vœux;2
désuétude;caractère abandonné d’une chose;2
dévot;qui est zélé pour la religion, qui manifeste une dévotion ostentatoire ou hypocrite;2
diariste;auteur d’un journal intime;2
diatribe; critique très violente;2
dilatoire;qui tend à retarder une échéance, à gagner du temps;2
dîmer;soumettre à un prélèvement souvent indu;2
dirimant;se dit d’un empêchement radical, formel, absolu;2
dithyrambe;éloge;2
docte;qui a des connaissances étendues, surtout en matière littéraire ou historique;2
dogmatisme;position catégorique, qui rejette le doute et refuse la critique.;2
doxa;ensemble des opinions communes aux membres d’une société et qui sont relatives à un comportement social;2
ductile;qui peut être étiré sans se séparer;2
ductilité;propriété qu’a un corps d’être ductile, de se déformer sans casser;2
dyarchie; régime politique dans lequel le pouvoir est exercé conjointement par deux personnes ou deux groupes;2
ébaubissant;étonnant, stupéfiant;2
échancré;qui est très découpé, qui laisse voir de la peau, voir qui est suggestif;2
éconduire;ne pas accepter une demande;2
écornifler;importuner, harceler quelqu’un de façon à lui arracher un profit ou simplement à surprendre un renseignement;2
éculé;démodé, passé;2
éluctable;que l’on peut éviter, empêcher;2
emphase;grandiloquence, enflure, emploi excessif ou inopportun de la déclamation, d’un ton pompeux, d’un style élevé;2
empyrée;ciel, paradis, au-delà, monde supraterrestre;2
encan;vente publique à l’enchère, au plus offrant et dernier enchérisseur;2
enclore;entourer un lieu de barrières, de murs, de manière à en défendre l’accès, entourer d’une clôture;2
entomofaune;partie de la faune constituée des insectes;2
entrecolonnement;espace libre entre deux colonnes qui se suivent;2
épigone;successeur, dans un parti, une école littéraire, philosophique;2
épure;dessin fini, par opposition à croquis;2
équanimité;égalité d’humeur, sérénité, flegme;2
ergoter;contester quelque chose avec des raisonnements fallacieux ou chicaneurs;2
éristique;qui comporte débats et controverses;2
esthète;personne pour qui la beauté de l’art est une valeur primordiale, essentielle;2
éthéré;qui est extrêmement léger, délicat, impalpable ou fugitif, aérien;2
ethnocide;destruction de la culture d’un peuple;2
étiage;le plus bas niveau d’un cours d’eau;2
étiologie;étude des causes d’un phénomène, réflexion sur la causalité du monde;2
étique;très amaigri, maigre;2
être forclos;être exclu, rejeté;2
exégèse;explication philologique, historique ou doctrinale d’un texte obscur ou sujet à discussion;2
exonyme;nom utilisé dans une langue pour désigner un toponyme et qui diffère du toponyme dans la langue de ceux qui y résident;2
exorde;première partie d’un discours;2
exotérisme;enseignement de la partie d’une doctrine accessible au profane;2
exsangue;qui a perdu beaucoup de sang, qui est d’une très grande pâleur, livide;2
facétie;action, parole ou écrit qui a quelque chose de bouffon, de burlesque;2
factum;écrit violent et polémique;2
faire accroire;faire croire ce qu’on sait ne pas être vrai, abuser de la crédulité de quelqu’un, mentir;2
faire florès;briller, réussir de manière éclatante, obtenir une grande réputation;2
famé;qui jouit d’une certaine réputation, de bonne réputation;2
fantasmagorique;qui relève du surnaturel, de phénomène extraordinaire, d’un spectacle enchanteur et irréel;2
fantasque;bizarre, extraordinaire, plein de fantaisie, d’originalité;2
fantoche;qui est le jouet d’une puissance plus grande, qui n’est pas sérieux;2
faste;se d’une chose favorable, positive, heureuse;2
fat;se dit d’une personne (ou de son attitude) imbue d’elle-même, qui fait montre d’une prétention grotesque d’une manière insolente, déplaisante ou ridicule;2
fétide;qui a une odeur répugnante et nauséabonde, puant, qui manifeste des sentiments ou une attitude inconvenante;2
fieffé;qui est pourvu d’un fief, et aussi qui possède au plus haut degré quelque chose (un défaut, un vice);2
finage;limites, étendue d’un territoire communal;2
florilège;recueil de morceaux choisis d’œuvres littéraires;2
fluer;couler, s’écouler, se répandre, en parlant de l’eau, d’une odeur, etc.;2
folâtre;se dit d’une personne dont le caractère est enjoué, dont l’humeur est badine;2
fomenter;exciter des actions, des sentiments violents et destructeurs;2
forfaiture;manquement grave à une parole donnée, à son devoir, trahison de la confiance d’autrui;2
forfanterie;caractère d’une personne qui se montre impudemment vantarde;2
fourboire;épuiser, accabler (une personne, un animal) de fatigue;2
frimas;brouillard froid et épais, qui se glace en tombant;2
frondaison;époque où apparaît le feuillage d’un arbre, d’une plante;2
frugal;qui se nourrit de peu, qui vit d’une manière simple;2
gageure;action, projet peu croyables et ressemblant à un pari;2
gésir;être étendu sans mouvement, résider, se trouver;2
glose;note explicative d’éclaircissement, réflexion, interprétation, critique;2
gnoséologique;qui concerne la connaissance;2
grabataire;personne qui ne peut pas quitter son lit;2
grume;tronc d’arbre abattu, ébranché et encore couvert de son écorce;2
hâbleur;qui a l’habitude de parler beaucoup et de se vanter, qui cherche à donner une haute idée de sa personne.;2
hagiographie;biographie excessivement élogieuse;2
hétérodoxe;qui s’écarte des opinions, des idées habituellement reçues;2
heuristique;qui sert à la découverte. Discipline qui étudie les procédés de recherche pour en formuler les règles, et qui effectue une réflexion méthodologique sur cette activité.;2
hinterland;région desservie par un port, une voie navigable;2
horion;coup violent donné à quelqu’un, peut aussi désigner la marque du coup sur la peau;2
hubris;démesure, orgueil;2
hypnagogique;qui provoque le sommeil;2
ibid;abréviation utilisée dans les notes bibliographique pour faire référence à un ouvrage déjà cité dans une note précédente (au même endroit);2
iconoclaste;qui est ennemi de toute tradition, qui cherche à faire disparaître tout ce qui est le passé;2
idéel;relatif au monde des idées, à la nature des idées;2
idiosyncrasie;manière d’être particulière à chaque individu qui l’amène à avoir tel type de réaction;2
idoine;qui convient parfaitement;2
ignivome;qui vomit du feu;2
ignominieux;qui cause l’indignité, qui entraîne le déshonneur;2
ignorantin;qui est ignorant, sans culture;2
imbroglio;situation confuse et d’une grande complexité;2
imbu;être profondément pénétré (d’un sentiment, d’une opinion), être plein de;2
immanent;qui existe de soi-même, sans intervention divine ou support immatériel;2
immixtion;action de s’immiscer dans les affaires d’autrui, ingérence;2
immodestie;manque de modestie, de bienséance et parfois de pudeur;2
immoler;faire périr quelqu’un ou un groupe, concourir à la mort, au massacre d’un grand nombre de personnes;2
impartir;accorder quelque chose à quelqu’un;2
impérieux;qui commande de façon absolue, qui s’impose;2
impéritie;incapacité dans l’exercice de sa profession ou de ses fonctions;2
impermanence;caractère de ce qui n’est pas permanent;2
impondérable;élément imprévisible qui influe sur les événements;2
importun;qui arrive mal à propos, qui gêne, fatigue, ennuie par sa présence;2
imprécation;malédiction proférée contre quelqu’un ; parole ou souhait appelant le malheur sur quelqu’un;2
imprécatoire;qui souhaite le malheur, qui concerne l’imprécation;2
in extenso;tout au long, en entier, en intégralité;2
inanition;privation d’aliment;2
incidemment;d’une manière fortuite, par hasard, accidentellement;2
incisif;qui touche, qui blesse profondément;2
incongru;qui n’est pas conforme aux exigences de la situation, aux règles du savoir-vivre;2
incurie;négligence extrême;2
indigence;état de pauvreté intellectuelle;2
indolent;nonchalant, apathique;2
indu;qui est contre la règle, l’usage, la raison;2
inécouté;qui n’est pas écouté;2
ineffable;qui est impossible de nommer ou de décrire, en raison de sa nature, de sa force, de sa beauté;2
inéluctable;contre quoi on ne peut pas lutter;2
inénarrable;qui ne peut être raconter;2
ineptie;action ou parole stupide, acte sot;2
infant;nom des enfants cadets des rois d’Espagne, du Portugal et du Duc de Parme;2
infinitésimal;extrêmement petit;2
inique;qui manque à l’équité, qui est contraire à la justice, très injuste;2
insigne;qui s’impose à l’attention par son caractère, que l’on met en valeur;2
intelligentsia;ensemble des intellectuels d’un pays quelconque.;2
interlope;qui a des apparences louches, relativement suspect, dont l’honnêteté est douteuse;2
ipséité;ce qui fait qu’une personne ne peut être considérée comme une autre;2
irénique;qui veut éviter les excès d’une attitude purement polémique;2
itératif;qui se répète plusieurs fois;2
junte;gouvernement à caractère autoritaire et le plus souvent militaire, issu d’un coup d’État;2
kafkaïen;qui évoque l’atmosphère sinistre, absurde, dérisoire des œuvres de Kafka;2
kleptocratie;régime politique dans lequel une ou les personnes à la tête du pays pratiquent à très grande échelle la corruption;2
kyrielle;suite interminable de paroles ou de mots, toute longue série;2
labile;susceptible de changer, de se transformer;2
labilité;état d’une chose sujette à changer ou à disparaître;2
laconique;qui s’exprime ou qui est exprimé en peu de mots;2
lacustre;relatif à un lac, auprès d’un lac;2
ladre;très radin;2
lanciner;tourmenter quelqu’un de façon persistante;2
landerneau;(ville du Finistère) « petit monde », dans le sens d’une communauté de taille suffisamment réduite pour que tout le monde se connaisse;2
languide;faible, affaiblie physiquement;2
lanturlu;mot sans signification qu’on utilise par dérision;2
lazzi;mauvaises plaisanteries à l’égard de quelqu’un;2
lénifier;calmer, apaiser;2
léonin;qui est propre au lion, qui rappelle le lion;2
licencieux;impudique, indécent;2
littérateur;qui fait de la littérature sa profession;2
logomachie;querelle de mots, discours oiseux qui ne mène à rien;2
logorrhée;bavardage intarissable et oiseux, besoin irrésistible de parler;2
longanimité;indulgence qui porte à pardonner ce qu’on pourrait punir;2
loquace;se dit d’une personne qui parle beaucoup;2
louvoyer;naviguer en zigzag pour utiliser un vent contraire, prendre détours pour un but;2
lubrique;qui a un penchant pour les plaisirs charnels;2
madrigal;compliment d’une galanterie affectée;2
maestria;aisance, perfection dans l’exécution d’une oeuvre d’art, dans la réalisation de quelque chose;2
magnanime;qui pardonne leurs injures, leurs fautes, leurs faiblesses à ceux qui sont sous son autorité;2
malandrin;bandit de grand chemin, brigand;2
malignité;méchanceté mesquine;2
mansuétude;disposition d’esprit qui incline à une bonté indulgente;2
marri;chagriné, fâché, attristé ou contrarié;2
maussade;qui inspire l’ennui;2
mélodrame;situation artificiellement tragique, qui cherche exagérément à frapper la sensibilité;2
mercantile;se dit de tout ce qui est relatif au commerce;2
mercenaire;vénal, qui ne travaille que pour un salaire, qui est inspiré par la seule considération du gain;2
mésestime;mauvaise opinion que l’on a de quelqu’un;2
métempsychose;réincarnation de l’esprit dans plusieurs corps humains, animaux ou végétaux;2
miasme; odeur, entité immatérielle, émanation provenant de matières organiques en décomposition;2
mignarder;entourer (quelqu’un) de petits soins, de tendresse, de délicatesses;2
misandre;personne qui déteste les hommes;2
morigéner;réprimander quelqu’un en lui faisant une leçon de morale, sermonner;2
mugueter;faire le galant auprès des dames, convoiter;2
munificent;très généreux;2
naguère;il y a peu de temps, récemment;2
nanti;personne qui a de la fortune, une situation aisée;2
nébuleux;qui manque de clarté, qui s’exprime ainsi;2
népotisme;abus de quelqu’un qui use de son autorité pour procurer des avantages aux gens de sa famille;2
nimber;entourer quelque chose d’un halo, de lumière;2
noria;rotation ininterrompue de véhicules qui vont et viennent;2
obérer;accabler quelqu’un, quelque chose d’une lourde charge financière;2
objurgation;vivre remontrance, mise en garde sévère;2
oblatif;qui fait passer les besoins d’autrui avant les siens, désintéressé;2
oblitérer;faire disparaître, effacer;2
obole;très petite somme, petit secours en argent, offrande de peu d’importance;2
obséquieux;qui manifeste un excès de respect;2
obtus;qui manque de finesse, qui est borné;2
ochlocratie;gouvernement par la foule, les basses classes, la populace;2
odalisque;courtisane dans l’Orient, dans les harems. En peinture orientaliste, femme nue allongée;2
œcuménique;qui est universel;2
œcuménisme;tendance idéale à vouloir l’union entre des personnes d’idéologie différentes;2
oindre;faire une onction sur, enduire d’huile ou de substance grasse;2
oiseux;qui ne sert à rien, qui est vide de sens, sans intérêt;2
ombilic;point central;2
onanisme;masturbation;2
ontogenèse;développement d’une aptitude ou d’une habileté chez un individu de sa naissance jusqu’à sa mort;2
opiner;acquiescer à quelque chose, l’approuver;2
opiniâtreté;volonté, persévérance tenace, acharnement, obstination;2
oraison;discours prononcé en public;2
ordalique;conduite comportant une prise de risque mortel, par laquelle le sujet, généralement adolescent, tente de se poser en maître de son destin;2
osmose;influence réciproque, interpénétration;2
ostensible;fait avec l’intention d’être vu, non caché;2
ouaille;fidèle chrétien, par rapport à son pasteur;2
oukase;ordre impératif, décision arbitraire et sans appel;2
ourdir;préparer, agencer avec habileté les premières mesures qui permettront à quelqu’un d’arriver à ses fins, de mener à bien une entreprise;2
outrecuidance;confiance excessive en soi-m^me, désinvolture à l’égard des autres;2
palidonie;rétraction de ce qu’on a dit, désaveu de ce que l’on a pu dire ou faire;2
palladium;ce qu’un peuple considère comme assurant sa durée, tout ce qui est le garant de la conservation d’une chose ou d’un individu;2
pamphlétaire;auteur de pamphlets;2
panacée;remède prétendu universel contre tous les maux, capable de résoudre tous les problèmes;2
pandémonium;réunion de mauvais esprits, de gens qui ne s’assemblent que pour comploter et faire le mal;2
panégyrique;éloge, souvent excessive;2
pangramme;phrase qui contient toutes les lettres de l’alphabet;2
panthéisme;philosophie d’après laquelle tout ce qui existe est identifié à Dieu, forme de la sensibilité qui voit Dieu manifesté dans toute la nature;2
parangon;personne prise comme modèle, comme représentant (parfois ironique);2
paronyme;mots de sens différent mais de forme relativement voisine;2
pataquès;discours confus, inintelligible;2
patent;évident, apparent, qui va sans dire, frappant;2
paucité;propriété de quelque chose d’être en petit nombre;2
pays de cocagne;pays imaginaire où l’on trouve tout en abondance et où l’on mène une vie prospère et insouciante;2
peccamineux;relatif au péché;2
pénate;habitations, demeure de quelqu’un (souvent avec touche d’ironie);2
pensum;devoir supplémentaire imposé à un élève par punition, travail long, ennuyeux, pénible;2
péroraison;conclusion d’un discours d’apparat, d’une harangue, d’un plaidoyer, d’un sermon;2
persifler;se moquer, parler avec ironie, tourner en dérision;2
pétuner;fumer du tabac;2
phraséologie;ensemble des expressions propres à une langue, un individu, une époque, à un milieu ou à un groupe social;2
pied à pied;pas à pas, graduellement, dans le détail;2
pierre d’achoppement;difficultés, obstacles sur lesquels on bute;2
pis-aller;solution à laquelle il faut recourir, faute de mieux;2
ploutocratie;système dans lequel le pouvoir politique est dévolu aux détenteurs de la richesse;2
polémogène;qui crée des polémiques;2
polissoner;agir en polisson;2
poltronnie;lâcheté;2
polyandre;femme qui a plusieurs maris;2
polygyne;homme marié à plusieurs femmes;2
ponant;appellation de l’Occident, par opposition au Levant;2
poncif;banalité, thème stéréotypé;2
pondéreux;très lourd;2
potache;qui a les caractéristiques des collégiens, des lycéens, en particulier relativement à l’humour;2
potomanie;besoin de boire grande quantité de liquide, de boisson;2
prédicable;qui peut être appliqué au sujet;2
primat;primauté;2
primesautier;qui décide, agit selon son premier mouvement, ses impulsions;2
probe;honnête, bon;2
procrastination;tendance à remettre les choses à plus tard;2
prodigue;qui dépense sans mesure, follement;2
prosaïque;dépourvu de noblesse, de raffinement, de recherche;2
prudhommesque;qui met une emphase ridicule sur des choses banales;2
pusillanime;qui manque d’audace, de courage;2
ravir;enlever, emporter (quelqu’un, quelque chose lié à quelqu’un) en usant de force, de violence ou de ruse;2
régnicole;qualifie les habitants d’un royaumes (seuls ceux qui en ont la nationalité);2
réminiscence;souvenir vague ou incomplet, difficile à localiser;2
replet;qui est bien en chair, qui est un peu gros;2
républicole;qui vénère une République;2
ressouvenir;se remémorer, se souvenir;2
réticulaire;dont la forme rappelle celle d’un réseau;2
rétif;se dit d’un esprit qui ne répond pas aux sollicitations;2
reviviscence;réapparition d’états de conscience déjà éprouvés;2
rhapsodie;poème ou partie de poème contenant un épisode épique, spécialement emprunté aux poèmes homériques;2
ridiculité;état de ce qui est ridicule, action ou parole ridicule.;2
rigorisme;attachement rigoureux, souvent excessif, aux règles morales ou religieuses;2
ripaille;repas où l’on mange et où l’on boit avec excès;2
roboratif;fortifiant, qui revigore, qui redonne des forces;2
rodomontade;attitude prétentieuse et ridicule;2
roide;qui ne se laisse pas plier, qui est difficile à plier, qui manque de souplesse.;2
rosse;dur, intransigeant, mauvais, méchant, sévère;2
rudéral;qui croît, pousse parmi les décombres;2
rustaud;personne qui manque de finesse, de raffinement, d’éducation;2
s’amuïr;ne plus se faire entendre;2
s’infatuer;avoir une trop bonne opinion de soi-même;2
sacerdoce;fonction qui présente un caractère particulièrement respectable en raison du dévouement à l’égard d’autrui qu’elle exige;2
sagace;qui fait preuve d’un sens aigu de l’observation;2
sagittation;mise à mort par tir à l’arc;2
sanie;matière purulente fétide (utilisation métaphorique);2
sapajou;petit homme laid et ridicule;2
sardanapalesque;qui évoque Sardanapal par ses traits dépravés, corrompus, immoraux;2
sardonique; qui exprime une moquerie insultante, une pensée méchante;2
sarracénique;qui concerne les populations arabes du Moyen-Age (sarrasin);2
saturnien;se dit d’un caractère triste ou mélancolique;2
scabreux;qui est dangereux, difficile ou choque la décence;2
scriptural;relatif à l’écriture, au code écrit, par opposition à oral;2
sécable;qui peut être coupé, divisé;2
sédition;complot, mouvement insurrectionnel;2
séide;fanatique qui obéit aveuglément à un chef;2
semoncer;adresser des reproches à (quelqu’un), réprimander.;2
sépulcrale;qui évoque la mort, la tombe;2
sépulcre;bâtiment destinée à recevoir un mort;2
sérail;palais du sultan, entourage immédiat d’une personne célèbre, siège de nombreuses intrigues;2
sibyllin;dont le sens est obscur, ésotérique;2
sinécure;emploi fortement rémunéré pour très peu de travail.;2
solvable;qui peut payer (ce qu’il doit), qui peut répondre d’une dette;2
sopitif;calmant, apaisant;2
sotie;mascarade, bouffonnerie, parodie;2
spécieux;qui est destiné à tromper; à induire en erreur, de faire illusion;2
spéculaire;qui se rapporte au miroir, qui réfléchit la lumière;2
stolon;discipline, successeur;2
sublimation;transformation des pulsions en des sentiments élevés, en des valeurs morales;2
subodorer;flairer, anticiper, pressentir, deviner;2
suborner;corrompre, détourner du droit chemin;2
subreptice;quelque chose qui se fait par un moyen illicite, d’une manière furtive;2
subsidiaire;accessoire, annexe, complémentaire;2
subvertir;bouleverser;2
sui generis;d’un genre propre, spécifique, qu’on ne peut comparer à d’autres;2
sujétion;état de quelqu’un, d’un groupe soumis à un pouvoir, à une autorité arbitraire et contraignante;2
superfétatoire;qui s’ajoute à une chose sans rien lui apporter;2
suranné;qui appartient à une époque révolue;2
suréminent;éminent au suprême degré, particulièrement admirable;2
surseoir;reporter une action, une décision à plus tard;2
susurrement;action de susurrer, bruit de ce qui susurre;2
sybarite;personne qui aime le luxe, le raffinement en matière de plaisir, qui recherche le confort dans la vie comme dans la pensée ou qui y est habitué;2
sycophante;délateur, menteur;2
sylve;forêt, forêt équatoriale dense;2
syncrétisme;combinaison de doctrines initialement incompatibles;2
synesthésie;coexistence de plusieurs sens;2
tacite;qui n’est pas directement exprimé, implicite, sous-entendu;2
taciturnité;fait de refuser de parler; silence;2
tangible;que chacun peut constater, qui ne saurait être mis en doute;2
tarauder;tourmenter;2
tartufferie;hypocrisie, fourberie;2
taxinomie;science ou technique utilisée pour faire une classification;2
ternissement;fait de ternir quelque chose;2
tétralogie;ensemble de quatre œuvres, littéraires ou musicales, liées par une même inspiration, un thème commun;2
thalassocratie;état dont la puissance réside dans la suprématie qu’il possède sur les mers.;2
thaumaturge;qui fait des miracles, qui a la prétention d’en faire;2
thébaïde;lieu isolé, propre à la méditation;2
thésauriser;mettre de l’argent de côté;2
thurifénaire;personne qui loue, vante quelqu’un ou quelque chose avec excès;2
titulature;ensemble des titres d’un souverain;2
torpeur;ralentissement général des manifestations de la vie;2
tortille;allée étroite et tortueuse dans un parc, un jardin;2
touffeur;atmosphère chaude, lourde, étouffante;2
tracassier;qui ne peut pas tenir en place et cause des tracas à autrui;2
transfuge;personne qui abandonne un parti, une doctrine pour se rallier à un, une autre;2
transi;engourdi par le froid, paralysé par une émotion;2
trépidation;vive agitation, forte animation;2
troïka;groupe de trois personnes importantes ou de trois entreprises;2
trôle;vente par l’ouvrier lui-même;2
